9.9060	20.0660
20.0660	20.0660
30.2260	7.3660
40.3860	7.3660
40.3860	9.9060
30.2260	20.0660
9.9060	14.9860
9.9060	17.5006
14.9860	7.3660
14.9860	14.9860
17.5006	7.3660
20.0660	7.3660
20.0660	14.9860
17.5006	14.9860
22.5806	7.3660
25.1460	7.3660
25.1460	14.9860
22.5806	14.9860
27.6860	7.3660
27.6860	14.9860
30.2260	14.9860
32.7660	7.3660
37.8460	7.3660
32.7660	14.9860
42.9260	7.3660
45.4406	7.3660
20.0660	17.5006
22.5806	17.5006
25.1460	17.5006
30.2260	17.5006
32.7660	17.5006
35.3060	17.5006
37.8460	9.9060
6.0706	6.0706
